Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
6909850,04/16/2019,SO52-01641,"GULF COAST SUPPLY & MFG., INC. : SEBRING - GCS005",USA,"$7,550.40",7550.4
6909844,04/16/2019,SO53-00600,Republic Metal Roofing LLC,USA,"$1,120.35",1120.35
6909843,04/16/2019,SO52-01640,"S&G CONSTRUCTION, LLC",USA,"$6,177.16",6177.16
6909430,04/16/2019,SO51-00623,"CORRUGATED METALS, INC. : BELVIDERE - CMI000",USA,"$5,632.00",5632
6909328,04/16/2019,SO52-01639,Gray's Framing & Metal Roofs,USA,"$1,660.00",1660
6909226,04/16/2019,SO80-03779,Jackson Metal Roofing,USA,"$1,680.00",1680
6909225,04/16/2019,SO51-00622,WALNUT CREEK METALS,USA,"$13,872.16",13872.16
6909122,04/16/2019,SO52-01638,4M METALS,USA,"$6,082.55",6082.55
6909116,04/16/2019,SO53-00599,SCHULTE ROOFING,USA,$952.60,952.6
6909110,04/16/2019,SO53-00598,SCHULTE ROOFING,USA,"$2,381.50",2381.5
6909004,04/16/2019,SO52-01637,"ARVESEN ENTERPRISES, INC. dba AAA METAL WORKS",USA,"$1,605.50",1605.5
6909002,04/16/2019,SO53-00597,SCHULTE ROOFING,USA,"$2,860.00",2860
6905241,04/15/2019,SO55LM-00096,Rain Gutter Pro's,USA,"$2,006.75",2006.75
6904126,04/15/2019,SO54-01090,ADVANCED ROOFING TECHNOLOGIES,USA,$630.00,630
6904111,04/15/2019,SO52-01636,ATLANTA METALWORKS INC. dba MIRACLE METALWORKS INC,USA,"$3,429.06",3429.06
6903109,04/15/2019,SO52-01635,"Extreme Metal Fabricators, LLC",USA,"$7,151.00",7151
6903107,04/15/2019,SO54-01089,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,$200.00,200
6903106,04/15/2019,SO52-01634,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$2,424.00",2424
6902902,04/15/2019,SO52-01633,STREAMLINE ROOFING & CONST.,USA,"$1,141.26",1141.26
6902801,04/15/2019,SO52-01632,"Extreme Metal Fabricators, LLC",USA,"$9,526.00",9526
6902700,04/15/2019,SO52-01631,"METAL ROOFING SYSTEMS, INC. : STANLEY - MRSI00-1",USA,"$4,478.55",4478.55
6902497,04/15/2019,SO52-01630,"Extreme Metal Fabricators, LLC",USA,$535.00,535
6902496,04/15/2019,SO52-01629,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,$54.00,54
6902395,04/15/2019,SO52-01628,TRI STATE COMPONENTS,USA,"$3,380.00",3380
